IDENTIFICACAO_CONTRATO;TITULO_PROJETO;CHAMADA_PUBLICA;ANO_CHAMADA_PUBLICA;CNPJ_PROPONENTE;RAZAO_SOCIAL_PROPONENTE;CNPJ_PRODUTORA;RAZAO_SOCIAL_PRODUTORA;CNPJ_DISTRIBUIDORA_PROGRAMADORA;RAZAO_SOCIAL_DISTRIBUIDORA_PROGRAMADORA;DT_PUBLICACAO_CONTRATO_DOU;VL_CONTRATO_DOU;DT_PRIMEIRO_DESEMBOLSO;VL_TOTAL_LIBERADO
02.09.0557.00;DE PERNAS PRO AR;PRODECINE 02;2008;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;42.473.256/0001-66;MORENA FILMES EIRELI - ME;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;08/12/2009; 3000000,00;21/12/2009; 3000000,00
02.09.0558.00;DESENROLA;PRODECINE 02;2008;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;72.062.029/0001-09;RACCORD PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;08/12/2009; 2000000,00;21/12/2009; 2000000,00
02.09.0601.00;HISTÓRIAS DE AMOR DURAM APENAS 90 MINUTOS;PRODECINE 01;2008;31.939.739/0001-97;TIPOS E TEMPOS PRODUÇÕES LTDA;31.939.739/0001-97;TIPOS E TEMPOS PRODUÇÕES LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;24/12/2009; 300000,00;13/01/2010; 300000,00
02.09.0592.00;INSOLAÇÃO;PRODECINE 01;2008;05.919.250/0001-43;CISMA PRODUÇÕES CINEMATOGRÁFICAS, EVENTOS E TEATRO LTDA;05.919.250/0001-43;CISMA PRODUÇÕES CINEMATOGRÁFICAS, EVENTOS E TEATRO LTDA;72.672.017/0001-04;CANNES PRODUÇÕES S/A;24/12/2009; 500000,00;15/01/2010; 500000,00
02.09.0614.00;DO COMEÇO AO FIM;PRODECINE 01;2008;03.838.776/0001-73;HARE FILMES PRODUCOES LTDA - ME;03.838.776/0001-73;HARE FILMES PRODUCOES LTDA - ME;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;29/12/2009; 461740,00;13/01/2010; 461740,00
02.10.0006.00;CINCO VEZES FAVELA 2 - AGORA POR NÓS MESMOS;PRODECINE 02;2008;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;73.586.513/0001-08;LUZ MÁGICA PRODUÇÕES AUDIOVISUAIS LTDA;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;18/01/2010; 1000000,00;03/02/2010; 1000000,00
02.10.0018.00;CHICO XAVIER;PRODECINE 01;2008;02.605.295/0001-55;LEREBY PRODUÇÕES LTDA;02.605.295/0001-55;LEREBY PRODUÇÕES LTDA;00.979.601/0001-98;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;12/02/2010; 1800000,00;25/02/2010; 1800000,00
02.10.0017.00;O PALHAÇO;PRODECINE 02;2008;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;02.140.120/0001-10;BANANEIRA FILMES LTDA.;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;12/02/2010; 800000,00;22/02/2010; 800000,00
02.10.0024.00;31 MINUTOS;PRODECINE 03;2008;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;02.863.008/0001-07;TOTAL ENTERTAINMENT LTDA;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;23/02/2010; 486080,00;;
02.10.0021.00;A LUZ DO TOM;PRODECINE 03;2008;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;42.164.699/0001-75;REGINA FILMES LTDA;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;23/02/2010; 138450,00;;
02.10.0044.00;O VENDEDOR DE PASSADOS;PRODECINE 02;2008;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;02.020.661/0001-04;CONSPIRAÇÃO FILMES S/A;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;12/03/2010; 2000000,00;15/04/2010; 2000000,00
02.10.0056.00;CORAÇÕES SUJOS;PRODECINE 01;2008;02.947.857/0001-49;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;RADAR CINEMA E TELEVISÃO LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;26/03/2010; 1500000,00;15/04/2010; 1500000,00
02.10.0084.00;O PAÍS DO DESEJO;PRODECINE 01;2008;02.140.120/0001-10;BANANEIRA FILMES LTDA.;02.140.120/0001-10;BANANEIRA FILMES LTDA.;02.668.665/0001-01;ANTONIO FERNANDES FILMES LTDA;14/04/2010; 500000,00;30/04/2010; 500000,00
02.10.0110.00;FEBRE DO RATO;PRODECINE 01;2008;09.240.833/0001-02;BELAVISTA RIO CINEMA E PRODUÇÃO ARTÍSTICA LTDA;09.240.833/0001-02;BELAVISTA RIO CINEMA E PRODUÇÃO ARTÍSTICA LTDA;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;16/04/2010; 500000,00;19/07/2010; 500000,00
02.10.0122.00;MINHOCAS;PRODECINE 01;2008;02.140.164/0001-40;GLAZ ENTRETENIMENTO S.A.;02.140.164/0001-40;GLAZ ENTRETENIMENTO S.A.;33.110.420/0001-80;FOX FILM DO BRASIL LTDA;28/04/2010; 1614780,00;13/05/2010; 1614780,00
02.10.0129.00;UMA HISTÓRIA DE AMOR E FÚRIA;PRODECINE 02;2008;72.672.017/0001-04;CANNES PRODUÇÕES S/A;02.238.621/0001-33;BURITI FILMES LTDA;72.672.017/0001-04;CANNES PRODUÇÕES S/A;30/04/2010; 400000,00;02/09/2010; 400000,00
02.10.0238.00;EU E MEU GUARDA-CHUVA;PRODECINE 01;2008;02.020.661/0001-04;CONSPIRAÇÃO FILMES S/A;02.020.661/0001-04;CONSPIRAÇÃO FILMES S/A;33.110.420/0001-80;FOX FILM DO BRASIL LTDA;08/06/2010; 1000000,00;19/07/2010; 1000000,00
02.10.0312.00;BEATRIZ;PRODECINE 02;2008;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;27.920.016/0001-79;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;17/06/2010; 500000,00;15/05/2013; 500000,00
02.10.0330.00;EU RECEBERIA AS PIORES NOTÍCIAS DOS SEUS LINDOS LÁBIOS;PRODECINE 01;2008;02.902.219/0001-01;DRAMA FILMES LTDA.;02.902.219/0001-01;DRAMA FILMES LTDA.;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;06/07/2010; 700000,00;19/07/2010; 700000,00
02.10.0360.00;ONDE A CORUJA DORME;PRODECINE 03;2008;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;03.360.320/0001-40;TV ZERO CINEMA LTDA;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;19/07/2010; 138450,00;04/08/2010; 138450,00
02.10.0370.00;OS CUPINS;PRODAV 01;2008;09.299.923/0001-60;AIUPA BRASIL PRODUÇÕES LTDA;09.299.923/0001-60;AIUPA BRASIL PRODUÇÕES LTDA;61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;20/07/2010; 421674,80;28/09/2010; 421674,80
02.10.0384.00;TEIMOSIA DA IMAGINAÇÃO;PRODAV 01;2008;03.382.581/0001-61;POLO DE IMAGEM LTDA (BAIXADO);03.382.581/0001-61;POLO DE IMAGEM LTDA (BAIXADO);61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;20/07/2010; 1169080,00;01/10/2010; 1169080,00
02.10.0402.00;SOMOS TÃO JOVENS;PRODECINE 01;2008;39.507.140/0001-96;CANTO CLARO PRODUÇÕES ARTÍSTICAS LTDA;39.507.140/0001-96;CANTO CLARO PRODUÇÕES ARTÍSTICAS LTDA;33.110.420/0001-80;FOX FILM DO BRASIL LTDA;06/08/2010; 500000,00;29/07/2011; 500000,00
02.10.0410.00;CACO E DADO;PRODAV 01;2008;07.477.471/0001-34;BOSSA NOVA FILMS CRIACOES E PRODUCOES S/A;07.477.471/0001-34;BOSSA NOVA FILMS CRIACOES E PRODUCOES S/A;61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;11/08/2010; 442840,00;29/09/2010; 442840,00
02.10.0426.00;ESTAÇÃO LIBERDADE;PRODECINE 01;2008;00.020.648/0001-20;PRODIGO FILMS LTDA;00.020.648/0001-20;PRODIGO FILMS LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;25/08/2010; 500000,00;06/01/2011; 500000,00
02.10.0486.00;ALUCINADOS;PRODECINE 03;2008;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;01.071.967/0001-27;PANORAMA FILMES LTDA.;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;20/10/2010; 92585,00;;
02.10.0531.00;BESOURO;PRODECINE 01;2008;06.998.046/0001-28;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;06.998.046/0001-28;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;00.637.277/0001-20;ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.;19/11/2010; 1563392,00;22/12/2010; 1563392,00
02.10.0554.00;A HORA E A VEZ DE AUGUSTO MATRAGA;PRODECINE 01;2008;00.020.648/0001-20;PRODIGO FILMS LTDA;00.020.648/0001-20;PRODIGO FILMS LTDA;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;29/11/2010; 500000,00;11/02/2011; 500000,00
02.10.0692.00;VAI QUE DÁ CERTO;PRODECINE 01;2008;00.538.914/0001-00;FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI;00.538.914/0001-00;FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI;72.672.017/0001-04;CANNES PRODUÇÕES S/A;22/12/2010; 700000,00;03/05/2011; 700000,00
02.11.0076.00;ATÉ QUE A SBÓRNIA NOS SEPARE;PRODECINE 01;2009;87.435.368/0001-60;OTTO DESENHOS ANIMADOS LTDA;87.435.368/0001-60;OTTO DESENHOS ANIMADOS LTDA;87.435.368/0001-60;OTTO DESENHOS ANIMADOS LTDA;30/03/2011; 791000,00;12/04/2011; 791000,00
02.11.0074.00;HELENO;PRODECINE 01;2009;05.840.498/0001-14;RT COMÉRCIO E SERVIÇOS DE CRIAÇÃO E PRODUÇÃO DE OBRAS COM DIREITOS AUTORAIS LTDA - EPP.;05.840.498/0001-14;RT COMÉRCIO E SERVIÇOS DE CRIAÇÃO E PRODUÇÃO DE OBRAS COM DIREITOS AUTORAIS LTDA - EPP.;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;30/03/2011; 1000000,00;13/04/2011; 1000000,00
02.11.0070.00;NÃO SE PREOCUPE, NADA VAI DAR CERTO;PRODECINE 01;2009;40.426.918/0001-11;MAC COMUNICAÇÃO E PRODUÇÃO LTDA;40.426.918/0001-11;MAC COMUNICAÇÃO E PRODUÇÃO LTDA;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;30/03/2011; 982145,00;08/04/2011; 982145,00
02.11.0081.00;CILADA.COM;PRODECINE 02;2009;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;09.558.964/0001-24;CASÉ FILMES LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;31/03/2011; 2000000,00;11/04/2011; 2000000,00
02.11.0058.00;BILLI PIG;PRODECINE 02;2009;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;02.140.120/0001-10;BANANEIRA FILMES LTDA.;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;06/04/2011; 1500000,00;14/04/2011; 1500000,00
02.11.0096.00;O OLHO E A FACA;PRODECINE 02;2009;02.668.665/0001-01;ANTONIO FERNANDES FILMES LTDA;71.733.695/0001-69;OLHOS DE CÃO PRODUÇÕES CINEMATOGRÁFICAS LTDA;02.668.665/0001-01;ANTONIO FERNANDES FILMES LTDA;12/04/2011; 1000000,00;26/08/2015; 1000000,00
02.11.0104.00;ATÉ QUE A SORTE NOS SEPARE;PRODECINE 02;2009;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;01.378.559/0001-12;GULLANE ENTRETENIMENTO S.A.;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;19/04/2011; 2000000,00;15/12/2011; 2000000,00
02.11.0106.00;AS AVENTURAS DO PEQUENO COLOMBO;PRODECINE 02;2009;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;07.060.648/0001-00;INDIANA PRODUÇÕES CINEMATOGRÁFICAS EIRELI - ME;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;25/04/2011; 1500000,00;06/08/2012; 1500000,00
02.11.0114.00;A ESTRADA 47;PRODECINE 02;2009;72.672.017/0001-04;CANNES PRODUÇÕES S/A;01.713.311/0001-60;TRES MUNDOS CINE Y VIDEO LTDA.;72.672.017/0001-04;CANNES PRODUÇÕES S/A;11/05/2011; 1800000,00;24/05/2011; 1800000,00
02.11.0148.00;A FRENTE FRIA QUE A CHUVA TRAZ;PRODECINE 01;2009;04.092.785/0001-20;C.H.G. CAMARGO RIBAS;04.092.785/0001-20;C.H.G. CAMARGO RIBAS;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;16/05/2011; 1000000,00;26/11/2013; 1000000,00
02.11.0139.00;A MEMÓRIA QUE ME CONTAM;PRODECINE 01;2009;73.947.392/0001-74;TAIGA FILMES E VIDEO EIRELI;73.947.392/0001-74;TAIGA FILMES E VIDEO EIRELI;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;16/05/2011; 700000,00;27/05/2011; 700000,00
02.11.0146.00;AOS VENTOS QUE VIRÃO;PRODECINE 01;2009;71.617.252/0001-02;LUZ XXI CINE VIDEO LTDA;71.617.252/0001-02;LUZ XXI CINE VIDEO LTDA;08.656.129/0001-64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;16/05/2011; 500000,00;06/07/2011; 500000,00
02.11.0147.00;ESTAMOS JUNTOS;PRODECINE 01;2009;01.605.800/0001-07;OLHAR IMAGINÁRIO LTDA;01.605.800/0001-07;OLHAR IMAGINÁRIO LTDA;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;16/05/2011; 580000,00;01/06/2011; 580000,00
02.11.0152.00;CARA OU COROA;PRODECINE 01;2009;59.190.843/0001-40;SP FILMES DE SÃO PAULO LTDA;59.190.843/0001-40;SP FILMES DE SÃO PAULO LTDA;01.216.636/0001-38;SPECTATEUR-COMÉRCIO E GERENCIAMENTO LTDA (BAIXADA);19/05/2011; 700000,00;10/06/2011; 700000,00
02.11.0157.00;MEU PAÍS;PRODECINE 01;2009;04.687.576/0001-20;SOMBUMBO FILMES LTDA - ME;04.687.576/0001-20;SOMBUMBO FILMES LTDA - ME;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;23/05/2011; 500000,00;09/06/2011; 500000,00
02.11.0167.00;BUGIGANGUE NO ESPAÇO;PRODECINE 01;2009;08.517.383/0001-81;44 TOONS - PRODUÇÕES ARTÍSTICAS LTDA;08.517.383/0001-81;44 TOONS - PRODUÇÕES ARTÍSTICAS LTDA;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;26/05/2011; 1000000,00;23/11/2012; 1000000,00
02.11.0169.00;O HOMEM QUE NÃO DORMIA;PRODECINE 01;2009;16.487.027/0001-90;TRUQUE PRODUTORA DE CINEMA TV E VÍDEO LTDA;16.487.027/0001-90;TRUQUE PRODUTORA DE CINEMA TV E VÍDEO LTDA;08.656.129/0001-64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;26/05/2011; 300000,00;01/07/2011; 300000,00
02.11.0166.00;O TEMPO E O VENTO;PRODECINE 02;2009;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;53.976.478/0001-18;NEXUS CINEMA E VÍDEO LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;26/05/2011; 2250000,00;18/08/2011; 2250000,00
02.11.0162.00;FAROESTE CABLOCO;PRODECINE 01;2009;08.427.088/0001-34;DE FELIPPES FILMES E PRODUÇÕES LTDA;08.427.088/0001-34;DE FELIPPES FILMES E PRODUÇÕES LTDA;72.672.017/0001-04;CANNES PRODUÇÕES S/A;30/05/2011; 1000000,00;17/06/2011; 1000000,00
02.11.0172.00;BOCA;PRODECINE 01;2009;02.395.043/0001-49;KINOSCÓPIO CINEMATOGRÁFICA E COMÉRCIO LTDA - EPP;02.395.043/0001-49;KINOSCÓPIO CINEMATOGRÁFICA E COMÉRCIO LTDA - EPP;14.589.221/0001-51;NOSSA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA.;01/06/2011; 215259,60;17/06/2011; 215259,60
02.11.0173.00;BONITINHA MAS ORDINÁRIA;PRODECINE 02;2009;02.668.665/0001-01;ANTONIO FERNANDES FILMES LTDA;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;02.668.665/0001-01;ANTONIO FERNANDES FILMES LTDA;01/06/2011; 500000,00;31/10/2011; 500000,00
02.11.0175.00;AMAZÔNIA - PLANETA VERDE;PRODECINE 02;2009;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;01.378.559/0001-12;GULLANE ENTRETENIMENTO S.A.;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;07/06/2011; 1800000,00;27/06/2011; 1800000,00
02.11.0177.00;O FIM E OS MEIOS;PRODECINE 01;2009;68.317.445/0001-33;CINEMA BRASIL DIGITAL - ESCRITÓRIO DE PLANEJ. EMPR. AUD. LTDA;68.317.445/0001-33;CINEMA BRASIL DIGITAL - ESCRITÓRIO DE PLANEJ. EMPR. AUD. LTDA;14.589.221/0001-51;NOSSA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA.;07/06/2011; 1150000,00;22/06/2011; 1150000,00
02.11.0176.00;TRANSEUNTE;PRODECINE 01;2009;31.179.864/0001-46;VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA;31.179.864/0001-46;VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA;31.179.864/0001-46;VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA;07/06/2011; 200000,00;22/07/2011; 198806,60
02.11.0182.00;A ÚLTIMA ESTAÇÃO;PRODECINE 01;2009;37.981.206/0001-50;ASACINE PRODUÇÕES EIRELI;37.981.206/0001-50;ASACINE PRODUÇÕES EIRELI;60.469.871/0001-80;CINEMATOGRÁFICA POLIFILMES LTDA-ME;15/07/2011; 554014,15;01/08/2011; 554014,15
02.11.0192.00;XINGU;PRODECINE 01;2009;02.525.725/0001-29;O2 CINEMA LTDA;02.525.725/0001-29;O2 CINEMA LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;28/07/2011; 1400000,00;17/08/2011; 1400000,00
02.11.0197.00;MINUTO NA TV - ESPORTES;PRODAV 01;2009;66.708.900/0001-04;UM MINUTO PRODUÇÕES CULTURAIS EIRELI;66.708.900/0001-04;UM MINUTO PRODUÇÕES CULTURAIS EIRELI;60.628.369/0001-75;RADIO E TELEVISAO RECORD S.A;01/08/2011; 200000,00;09/09/2011; 200000,00
02.11.0194.00;UM HOMEM SÓ;PRODECINE 01;2009;04.661.796/0001-84;GIROS PROJETOS AUDIOVISUAIS LTDA;04.661.796/0001-84;GIROS PROJETOS AUDIOVISUAIS LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;01/08/2011; 886146,00;15/07/2014; 886146,00
02.11.0202.00;RITOS DE PASSAGEM;PRODECINE 02;2009;05.933.574/0001-36;PIPA NATIVA PRODUÇÃO CULTURAL LTDA;14.372.650/0001-72;LIBERATO PRODUÇÕES CULTURAIS LTDA;05.933.574/0001-36;PIPA NATIVA PRODUÇÃO CULTURAL LTDA;22/08/2011; 365700,00;19/10/2011; 365700,00
02.11.0204.00;IMAGENS DO ESTADO NOVO;PRODAV 01;2009;01.519.695/0001-85;BRASIL 1500 PRODUCOES CINEMATOGRAFICAS EIRELI;01.519.695/0001-85;BRASIL 1500 PRODUCOES CINEMATOGRAFICAS EIRELI;61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;23/08/2011; 500000,00;28/11/2014; 500000,00
02.11.0207.00;JULIE E OS FANTASMAS;PRODAV 01;2009;02.947.857/0001-49;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;RADAR CINEMA E TELEVISÃO LTDA;60.509.239/0001-13;RADIO E TELEVISAO BANDEIRANTES S.A.;29/08/2011; 2000000,00;15/09/2011; 2000000,00
02.11.0217.00;GODOFREDO;PRODAV 01;2009;02.231.569/0001-93;UM FILMES LTDA;02.231.569/0001-93;UM FILMES LTDA;61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;14/09/2011; 1000000,00;23/01/2013; 1000000,00
02.11.0215.00;NA BOCA DO POVO;PRODAV 01;2009;03.189.055/0001-80;ABBAS FILMES LTDA.;03.189.055/0001-80;ABBAS FILMES LTDA.;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;14/09/2011; 400000,00;01/04/2013; 400000,00
02.11.0218.00;OSMAR, A PRIMEIRA FATIA DO PÃO DE FORMA;PRODAV 01;2009;08.517.383/0001-81;44 TOONS - PRODUÇÕES ARTÍSTICAS LTDA;08.517.383/0001-81;44 TOONS - PRODUÇÕES ARTÍSTICAS LTDA;61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;14/09/2011; 999000,00;28/03/2012; 999000,00
02.11.0219.00;HÁ MUITAS NOITES NA NOITE;PRODAV 01;2009;27.651.181/0001-72;CALIBAN PRODUÇÕES CINEMATOGRÁFICAS LTDA.;27.651.181/0001-72;CALIBAN PRODUÇÕES CINEMATOGRÁFICAS LTDA.;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;15/09/2011; 500000,00;12/03/2013; 500000,00
02.11.0216.00;MEU AMIGÃOZÃO;PRODAV 01;2009;02.683.477/0001-44;LD LABORATÓRIO DE DESENHOS LTDA;02.683.477/0001-44;LD LABORATÓRIO DE DESENHOS LTDA;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;15/09/2011; 1000000,00;20/10/2011; 1000000,00
02.11.0223.00;BRAZUCAS!;PRODAV 01;2009;05.565.485/0001-84;PANORAMICA COMUNICACAO LTDA.;05.565.485/0001-84;PANORAMICA COMUNICACAO LTDA.;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;16/09/2011; 500000,00;26/10/2012; 500000,00
02.11.0226.00;OS ÚTIMOS CANGACEIROS;PRODECINE 01;2009;04.761.874/0001-12;CORTE SECO FILMES LTDA;04.761.874/0001-12;CORTE SECO FILMES LTDA;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;21/09/2011; 200000,00;03/10/2011; 200000,00
02.11.0232.00;BOA NOITE, MARTHA;PRODAV 01;2009;87.435.368/0001-60;OTTO DESENHOS ANIMADOS LTDA;87.435.368/0001-60;OTTO DESENHOS ANIMADOS LTDA;61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;29/09/2011; 500000,00;13/04/2012; 500000,00
02.11.0242.00;AS AVENTURAS DO AVIÃO VERMELHO;PRODECINE 01;2009;04.909.742/0001-95;CAMILA GONZATTO & FREDERICO PINTO LTDA - ME;04.909.742/0001-95;CAMILA GONZATTO & FREDERICO PINTO LTDA - ME;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;13/10/2011; 829966,10;27/10/2011; 829966,10
02.11.0241.00;O GRANDE KILAPY;PRODECINE 01;2009;44.154.342/0001-31;RAIZ PRODUÇÕES CINEMATOGRÁFICAS LTDA. ME.;44.154.342/0001-31;RAIZ PRODUÇÕES CINEMATOGRÁFICAS LTDA. ME.;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;13/10/2011; 696747,00;31/10/2011; 696747,00
02.11.0250.00;PROCURA-SE;PRODECINE 01;2009;06.998.046/0001-28;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;06.998.046/0001-28;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;28/10/2011; 914073,50;09/12/2011; 914073,50
02.11.0255.00;AS MICROAVENTURAS DE TITO E MUDA;PRODAV 01;2009;08.296.780/0001-70;NEOPLASTIQUE ENTRETENIMENTO LTDA;08.296.780/0001-70;NEOPLASTIQUE ENTRETENIMENTO LTDA;61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;31/10/2011; 550000,00;08/09/2016; 550000,00
02.11.0251.00;ANITA E GARIBALDI;PRODECINE 01;2009;80.816.838/0001-97;LAZ AUDIOVISUAL LTDA.;80.816.838/0001-97;LAZ AUDIOVISUAL LTDA.;80.816.838/0001-97;LAZ AUDIOVISUAL LTDA.;04/11/2011; 518146,00;04/01/2012; 518146,00
02.11.0262.00;FLORES RARAS;PRODECINE 01;2009;73.619.637/0001-34;FILMES DO EQUADOR LTDA.;73.619.637/0001-34;FILMES DO EQUADOR LTDA.;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;07/11/2011; 2500000,00;01/06/2012; 2500000,00
02.11.0272.00;A GRANDE IDEIA - BRASIL;PRODAV 01;2009;66.708.900/0001-04;UM MINUTO PRODUÇÕES CULTURAIS EIRELI;66.708.900/0001-04;UM MINUTO PRODUÇÕES CULTURAIS EIRELI;02.608.224/0001-06;CANAL BRAZIL S/A;11/11/2011; 195222,00;03/12/2011; 195222,00
02.11.0265.00;ZICA E OS CAMALEÕES;PRODAV 01;2009;02.762.890/0001-02;CINEMA ANIMADORES LTDA. EPP;02.762.890/0001-02;CINEMA ANIMADORES LTDA. EPP;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;11/11/2011; 1000000,00;15/01/2013; 1000000,00
02.11.0274.00;CAPITÃES DA AREIA;PRODECINE 01;2009;00.700.805/0001-48;LAGOA CULTURAL E ESPORTIVA LTDA;00.700.805/0001-48;LAGOA CULTURAL E ESPORTIVA LTDA;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;14/11/2011; 1000000,00;15/02/2012; 1000000,00
02.11.0276.00;UMA HISTÓRIA DE AMOR E FÚRIA;PRODECINE 01;2009;02.238.621/0001-33;BURITI FILMES LTDA;02.238.621/0001-33;BURITI FILMES LTDA;72.672.017/0001-04;CANNES PRODUÇÕES S/A;18/11/2011; 500000,00;21/12/2011; 500000,00
