IDENTIFICACAO_CONTRATO;TITULO_PROJETO;CHAMADA_PUBLICA;ANO_CHAMADA_PUBLICA;CNPJ_PROPONENTE;RAZAO_SOCIAL_PROPONENTE;CNPJ_PRODUTORA;RAZAO_SOCIAL_PRODUTORA;CNPJ_DISTRIBUIDORA_PROGRAMADORA;RAZAO_SOCIAL_DISTRIBUIDORA_PROGRAMADORA;DT_PUBLICACAO_CONTRATO_DOU;VL_CONTRATO_DOU;DT_PRIMEIRO_DESEMBOLSO;VL_TOTAL_LIBERADO
DG-00.855;KING KONG EM ASSUNCION;PRODECINE 02;2013;05.249.852/0001-30;LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA;06.905.794/0001-19;AC CAVALCANTE SERVIÇOS LTDA.;05.249.852/0001-30;LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA;09/09/2016; 1197009,00;28/09/2016; 1197009,00
DG-00.882;LA VINGANÇA;PRODECINE 01;2014;11.545.487/0001-04;QUEROSENE PRODUÇÕES ARTISTICAS E CINEMATOGRÁFICAS LTDA;11.545.487/0001-04;QUEROSENE PRODUÇÕES ARTISTICAS E CINEMATOGRÁFICAS LTDA;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;09/09/2016; 1000000,00;20/10/2016; 1000000,00
DG-00.865;MAR DE ZILÁ;ARRANJOS REGIONAIS;2014;10.823.162/0001-83;ARIANE DOS SANTOS PEREIRA;10.823.162/0001-83;ARIANE DOS SANTOS PEREIRA;;;09/09/2016; 33333,00;21/09/2016; 33333,00
DG-00.858;NÚCLEO CRIATIVO CLARTÉ;PRODAV 03;2015;12.475.126/0001-00;CLARTE SERVIÇOS DE FOTO E CINEMA LTDA ME;12.475.126/0001-00;CLARTE SERVIÇOS DE FOTO E CINEMA LTDA ME;;;09/09/2016; 1000000,00;15/12/2016; 1000000,00
DG-00.881;SOL;PRODECINE 02;2013;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;13.924.232/0001-88;DRAMATICA FILMES - EIRELI;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;09/09/2016; 2000000,00;21/06/2019; 2000000,00
DG-00.883;UM NAMORADO PARA MINHA MULHER;PRODAV 06;2014;12.580.503/0001-62;PARIS PRODUÇÕES CINEMATOGRÁFICAS LTDA;12.580.503/0001-62;PARIS PRODUÇÕES CINEMATOGRÁFICAS LTDA;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;09/09/2016; 1025373,54;21/09/2016; 1025373,54
DG-00.868;UNICÓRNIO;PRODECINE 05;2014;09.107.296/0001-19;3 TABELA FILMES E PRODUÇÕES ARTÍSTICAS LTDA;09.107.296/0001-19;3 TABELA FILMES E PRODUÇÕES ARTÍSTICAS LTDA;09.107.296/0001-19;3 TABELA FILMES E PRODUÇÕES ARTÍSTICAS LTDA;09/09/2016; 1888260,00;21/09/2016; 1888260,00
DG-00.866;AMORA DIGITAL - NÚCLEO DE DESENVOLVIMENTO;PRODAV 03;2015;12.497.363/0001-63;AMORA DIGITAL LTDA - ME;12.497.363/0001-63;AMORA DIGITAL LTDA - ME;;;21/09/2016; 921000,00;13/10/2016; 921000,00
DG-00.884;BOB CUSPE;PRODECINE 01;2014;03.746.956/0001-25;COALA PRODUÇÕES AUDIOVISUAIS LTDA;03.746.956/0001-25;COALA PRODUÇÕES AUDIOVISUAIS LTDA;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;21/09/2016; 1000000,00;04/11/2016; 1000000,00
DG-00.885;BOB CUSPE - NÓS NÃO GOSTAMOS DE GENTE;ARRANJOS REGIONAIS;2014;03.746.956/0001-25;COALA PRODUÇÕES AUDIOVISUAIS LTDA;03.746.956/0001-25;COALA PRODUÇÕES AUDIOVISUAIS LTDA;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;21/09/2016; 500000,00;04/11/2016; 500000,00
DG-00.854;BREVE MIRAGEM DE SOL;PRODECINE 05;2014;05.163.327/0001-06;ARUAC PRODUÇÕES LTDA;05.163.327/0001-06;ARUAC PRODUÇÕES LTDA;10.681.698/0001-01;TUCUMÁN DISTRIBUIDORA DE FILMES LTDA;21/09/2016; 1593909,06;13/10/2016; 1593909,06
DG-00.888;CLARA ESTRELA;PRODAV 01;2013;06.992.833/0001-62;MODO OPERANTE PRODUÇÕES CULTURAIS LTDA. ME;06.992.833/0001-62;MODO OPERANTE PRODUÇÕES CULTURAIS LTDA. ME;;;21/09/2016; 650000,00;03/10/2016; 650000,00
DG-00.903;FOTÓGRAFOS;PRODAV 02 - PROJETO DERIVADO;2013;11.280.934/0001-40;LIGHTHOUSE PRODUÇÕES CINEMATOGRÁFICAS LTDA.;11.280.934/0001-40;LIGHTHOUSE PRODUÇÕES CINEMATOGRÁFICAS LTDA.;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;21/09/2016; 298135,75;05/10/2016; 298135,75
DG-00.872;LAVÍNIA;ARRANJOS REGIONAIS;2014;05.980.535/0001-90;VIGOR MORTIS PRODUÇÕES ARTISTICAS LTDA;05.980.535/0001-90;VIGOR MORTIS PRODUÇÕES ARTISTICAS LTDA;;;21/09/2016; 54000,00;13/10/2016; 54000,00
DG-00.880;MATA NEGRA;PRODECINE 05;2014;09.369.796/0001-29;FÁBULAS NEGRAS PRODUÇÕES ARTÍSTICAS LTDA.;09.369.796/0001-29;FÁBULAS NEGRAS PRODUÇÕES ARTÍSTICAS LTDA.;09.369.796/0001-29;FÁBULAS NEGRAS PRODUÇÕES ARTÍSTICAS LTDA.;21/09/2016; 629061,00;28/09/2016; 629061,00
DG-00.850;NINGUÉM AMA NINGUÉM POR MAIS DE DOIS ANOS;ARRANJOS REGIONAIS;2014;72.672.017/0001-04;CANNES PRODUÇÕES S/A;00.445.787/0001-03;CINE CINEMATOGRÁFICA LTDA;72.672.017/0001-04;CANNES PRODUÇÕES S/A;21/09/2016; 100000,00;;
DG-00.747;O ESPADACHIM DE CARVÃO;PRODAV 05;2014;09.461.749/0001-00;MOC - M, OFICINA DE CONTEÚDO DE COMUNICAÇÃO LTDA;09.461.749/0001-00;MOC - M, OFICINA DE CONTEÚDO DE COMUNICAÇÃO LTDA;;;21/09/2016; 150000,00;03/11/2016; 150000,00
DG-00.867;OCUPAÇÕES;PRODAV 06;2014;00.205.194/0001-61;HECO PRODUÇÕES LTDA;00.205.194/0001-61;HECO PRODUÇÕES LTDA;;;21/09/2016; 699109,40;13/10/2016; 699109,40
DG-00.877;PAJÉ;SAV/MINC 04;2014;02.238.621/0001-33;BURITI FILMES LTDA;02.238.621/0001-33;BURITI FILMES LTDA;;;21/09/2016; 999400,00;03/10/2016; 999400,00
DG-00.891;TUNADAS ;PRODAV 01;2013;08.346.159/0001-74;MEDIALAND PRODUÇÃO E COMUNICAÇÃO LTDA;08.346.159/0001-74;MEDIALAND PRODUÇÃO E COMUNICAÇÃO LTDA;;;21/09/2016; 1120000,00;22/11/2016; 1120000,00
DG-00.871;TURMA 33 B;ARRANJOS REGIONAIS;2014;04.232.913/0001-94;OFICINA DE IMAGEM LTDA.;04.232.913/0001-94;OFICINA DE IMAGEM LTDA.;;;21/09/2016; 53995,00;13/10/2016; 53995,00
DG-00.879;A PAIXÃO SEGUNDO GH;PRODECINE 05;2014;03.435.290/0001-94;FILMES MAIS LTDA;03.435.290/0001-94;FILMES MAIS LTDA;03.435.290/0001-94;FILMES MAIS LTDA;30/09/2016; 2249999,99;17/10/2016; 2249999,99
