SALIC;TITULO_PROJETO;MUNICIPIO_PROPONENTE;UF_PROPONENTE;SITUACAO_REGISTRO;CNPJ_PROPONENTE;RAZAO_SOCIAL_PROPONENTE;LEI_8313;ART1;ART1A;ART3;ART3A;ART39;FUNCINES;TOTAL_CAPTADO;DT_APROVACAO_CAPTACAO;DT_1_LIBERACAO
02-4052;A Rebelião dos Estudantes      (Ex - Rebelião dos Estudantes - Brasília, 1968 (A));VITÓRIA;ES;IRREGULAR;36.300.499/0001-08;PRO TEXTO COMUNICAÇÃO E CULTURA LTDA;238550,0;0,0;0,0;0,0;0,0;0,0;0,0;238550,0;26/11/2002;06/02/2006
10-0173;Vidas Partidas (Ex-Maria da Penha, Ex - Simplesmente Maria);RIO DE JANEIRO;RJ;DEFERIDO;36.472.587/0001-89;VOGLIA PRODUÇÕES ARTÍSTICAS LTDA;0,0;500000,0;3307750,0;500000,0;2000000,0;0,0;0,0;6307750,0;22/10/2010;25/01/2012
06-0242;Simples Mortais;BRASÍLIA;DF;DEFERIDO;37.981.206/0001-50;ASACINE PRODUÇÕES EIRELI;240000,0;0,0;465000,0;0,0;0,0;0,0;0,0;705000,0;23/10/2006;06/02/2007
02-3521;Filhas do Vento;BRASÍLIA;DF;DEFERIDO;37.981.206/0001-50;ASACINE PRODUÇÕES EIRELI;660500,0;0,0;0,0;0,0;0,0;0,0;0,0;660500,0;18/02/2002;13/11/2002
05-0143;A ÚLTIMA ESTAÇÃO;BRASÍLIA;DF;DEFERIDO;37.981.206/0001-50;ASACINE PRODUÇÕES EIRELI;0,0;0,0;1088000,0;0,0;0,0;0,0;0,0;1088000,0;19/07/2005;13/08/2009
04-0275;FILHAS DO VENTO - COMERCIALIZAÇÃO;BRASÍLIA;DF;DEFERIDO;37.981.206/0001-50;ASACINE PRODUÇÕES EIRELI;160000,0;50000,0;0,0;0,0;0,0;0,0;0,0;210000,0;21/12/2004;20/05/2005
12-0352;Cora Coralina - Todas as Vidas (Ex- Raízes de Aninha);BRASÍLIA;DF;DEFERIDO;37.981.206/0001-50;ASACINE PRODUÇÕES EIRELI;0,0;0,0;500000,0;0,0;0,0;0,0;0,0;500000,0;09/10/2012;04/02/2015
11-0204;Olhar de Nise;BRASÍLIA;DF;IRREGULAR;38.027.546/0001-09;JORGE OLIVEIRA DA SILVA COMUNICACAO CONSULTORIA E MARKETING EIRELI - ME;0,0;0,0;628700,0;0,0;0,0;0,0;0,0;628700,0;12/08/2011;20/08/2015
07-0157;Perdão, Mister Fiel;BRASÍLIA;DF;IRREGULAR;38.027.546/0001-09;JORGE OLIVEIRA DA SILVA COMUNICACAO CONSULTORIA E MARKETING EIRELI - ME;0,0;0,0;795000,0;0,0;0,0;0,0;0,0;795000,0;16/07/2007;30/07/2009
09-0019;Exilados do Vulcão (Ex - Sobre a Neblina);RIO DE JANEIRO;RJ;DEFERIDO;39.183.983/0001-84;FRANCO PRODUÇÕES, FILMES, EVENTOS E PROMOÇÕES LTDA - ME.;0,0;0,0;287422,11;0,0;0,0;0,0;0,0;287422,11;29/04/2009;01/12/2011
16-0374;Othelo, o grande;RIO DE JANEIRO;RJ;DEFERIDO;39.183.983/0001-84;FRANCO PRODUÇÕES, FILMES, EVENTOS E PROMOÇÕES LTDA - ME.;0,0;0,0;324000,0;0,0;200000,0;0,0;0,0;524000,0;25/07/2016;29/06/2018
99-3609;No Meio da Rua;RIO DE JANEIRO;RJ;DEFERIDO;39.507.140/0001-96;CANTO CLARO PRODUÇÕES ARTÍSTICAS LTDA;0,0;1190088,0;0,0;0,0;0,0;0,0;0,0;1190088,0;25/10/1999;20/02/2003
07-0120;SOMOS TÃO JOVENS - DESENVOLVIMENTO (Ex-RELIGIÃO URBANA - DESENVOLVIMENTO);RIO DE JANEIRO;RJ;DEFERIDO;39.507.140/0001-96;CANTO CLARO PRODUÇÕES ARTÍSTICAS LTDA;0,0;0,0;0,0;125039,95;0,0;0,0;0,0;125039,95;22/05/2007;22/02/2010
05-0255;SOMOS TÃO JOVENS (EX - RELIGIÃO URBANA);RIO DE JANEIRO;RJ;DEFERIDO;39.507.140/0001-96;CANTO CLARO PRODUÇÕES ARTÍSTICAS LTDA;0,0;1846500,0;1837000,0;1500000,0;0,0;0,0;0,0;5183500,0;09/11/2005;22/09/2010
11-0233;Dona Flor e Seus Dois Maridos;RIO DE JANEIRO;RJ;DEFERIDO;39.527.494/0001-00;REGINALDO FARIAS PRODUÇÕES ARTÍSTICAS LTDA;0,0;0,0;1200000,0;0,0;2800000,0;0,0;0,0;4000000,0;29/09/2011;14/06/2016
21-0140;AUTHENTIC REPORTER;RIO DE JANEIRO;RJ;DEFERIDO;39.737.740/0001-40;BLAH SERVICOS DE COMUNICACAO EIRELI;0,0;889239,0;64000,0;0,0;0,0;0,0;0,0;953239,0;26/11/2021;23/06/2022
21-0141;A MENSAGEM TA NA PALAVRA;RIO DE JANEIRO;RJ;DEFERIDO;39.737.740/0001-40;BLAH SERVICOS DE COMUNICACAO EIRELI;0,0;960860,0;371500,0;0,0;0,0;0,0;0,0;1332360,0;26/11/2021;23/12/2022
92-0911;Sombras de Julho;RIO DE JANEIRO;RJ;DEFERIDO;39.939.269/0001-73;M. ALTBERG CINEMA E VÍDEO LTDA;0,0;274171,0;0,0;0,0;0,0;0,0;0,0;274171,0;11/10/1995;27/12/1996
96-0316;Amor que Fica ( Ex: De Repente Só );RIO DE JANEIRO;RJ;DEFERIDO;39.939.269/0001-73;M. ALTBERG CINEMA E VÍDEO LTDA;120000,0;212925,0;0,0;0,0;0,0;0,0;0,0;332925,0;16/08/1995;22/07/1999
96-2432;MANGUEIRA DOCUMENTAL - EVOLUÇÃO, FANTASIA E ALEGORIA;RIO DE JANEIRO;RJ;DEFERIDO;39.939.269/0001-73;M. ALTBERG CINEMA E VÍDEO LTDA;0,0;120000,0;0,0;0,0;0,0;0,0;0,0;120000,0;03/12/1996;18/01/2001
96-2427;MANGUEIRA DOCUMENTAL - BATERIA;RIO DE JANEIRO;RJ;DEFERIDO;39.939.269/0001-73;M. ALTBERG CINEMA E VÍDEO LTDA;0,0;206366,0;0,0;0,0;0,0;0,0;0,0;206366,0;03/12/1996;14/09/2000
00-1679;Quarta Parede;RIO DE JANEIRO;RJ;DEFERIDO;39.939.269/0001-73;M. ALTBERG CINEMA E VÍDEO LTDA;265000,0;0,0;0,0;0,0;0,0;0,0;0,0;265000,0;07/06/2000;05/03/2001
18-0164;3 ANTÔNIOS & 1 JOBIM - UMA LIÇÃO DE AMOR AO BRASIL;RIO DE JANEIRO;RJ;DEFERIDO;40.241.291/0001-24;ELIPSE TELEVISÃO E CINEMA LTDA;0,0;0,0;179845,0;0,0;0,0;0,0;0,0;179845,0;19/04/2018;19/03/2020
97-3925;Mundo Cabe Numa Cadeira de Barbeiro (O) (Ex: Imigrantes Para o Brasil No Século  XX);RIO DE JANEIRO;RJ;DEFERIDO;40.271.140/0001-19;SYNAPSE PRODUÇÕES LTDA;0,0;285514,0;0,0;0,0;0,0;0,0;0,0;285514,0;11/11/1997;29/11/2000
03-0191;INTRÉPIDA TRUPE;RIO DE JANEIRO;RJ;IRREGULAR;40.340.630/0001-20;INTRÉPIDA TRUPE PRODUÇÕES ARTÍSTICAS LTDA;0,0;0,0;222739,2;0,0;0,0;0,0;0,0;222739,2;04/05/2004;04/06/2008
03-0012;CASA DA MÃE JOANA;RIO DE JANEIRO;RJ;DEFERIDO;40.426.918/0001-11;MAC COMUNICAÇÃO E PRODUÇÃO LTDA;0,0;758712,0;0,0;2500000,0;0,0;0,0;0,0;3258712,0;14/07/2003;19/01/2006
07-0267;Não se preocupe, nada vai dar certo;RIO DE JANEIRO;RJ;DEFERIDO;40.426.918/0001-11;MAC COMUNICAÇÃO E PRODUÇÃO LTDA;0,0;1417400,0;1000000,0;0,0;1099999,97;0,0;0,0;3517399,97;04/10/2007;13/11/2009
10-0545;Casa da Mãe Joana 2;RIO DE JANEIRO;RJ;DEFERIDO;40.426.918/0001-11;MAC COMUNICAÇÃO E PRODUÇÃO LTDA;0,0;530000,0;0,0;300000,0;1300000,0;0,0;0,0;2130000,0;15/12/2010;19/10/2012
17-0102;CARVANA - DISTRIBUIÇÃO (EX COMO SE FAZ UM MALANDRO - DISTRIBUIÇÃO);RIO DE JANEIRO;RJ;DEFERIDO;40.426.918/0001-11;MAC COMUNICAÇÃO E PRODUÇÃO LTDA;0,0;0,0;92100,0;0,0;0,0;0,0;0,0;92100,0;12/04/2017;06/12/2017
