SALIC;TITULO_PROJETO;MUNICIPIO_PROPONENTE;UF_PROPONENTE;SITUACAO_REGISTRO;CNPJ_PROPONENTE;RAZAO_SOCIAL_PROPONENTE;LEI_8313;ART1;ART1A;ART3;ART3A;ART39;FUNCINES;TOTAL_CAPTADO;DT_APROVACAO_CAPTACAO;DT_1_LIBERACAO
04-0353;O DIA EM QUE O BRASIL ESTEVE AQUI;SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;190000,0;440000,0;0,0;0,0;0,0;0,0;0,0;630000,0;23/03/2005;15/12/2006
06-0305;A Hora e a Vez de Augusto Matraga;SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;2604045,0;970000,0;0,0;0,0;0,0;0,0;3574045,0;25/05/2007;16/07/2009
06-0412;Estação Liberdade;SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;310251,0;1000000,0;0,0;0,0;0,0;0,0;1310251,0;07/03/2007;29/12/2010
07-0251;Rio Breaks - Uma Estória de Surfe e Sobrevivência (ex-Nova Onda);SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;162500,0;0,0;0,0;0,0;0,0;0,0;0,0;162500,0;14/12/2007;15/05/2009
07-0517;O Guia (ex-Cozinha Punk);SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;0,0;0,0;0,0;0,0;704999,78;0,0;704999,78;13/03/2008;29/10/2008
08-0029;Ser, Osesp (Ex-Prazer, Osesp);SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;0,0;0,0;0,0;0,0;14152,05;0,0;14152,05;02/06/2008;05/02/2009
10-0113;FDP;SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;0,0;0,0;0,0;2999999,99;5702901,9;0,0;8702901,89;22/10/2010;20/12/2010
10-0310;O Roubo da Taça (Ex-O Inacreditável Roubo da Jules Rimet);SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;1500100,0;800000,0;0,0;0,0;0,0;0,0;2300100,0;22/11/2010;04/03/2015
10-0568;Até que a morte nos Separe;SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;0,0;0,0;0,0;0,0;930000,0;0,0;930000,0;01/04/2011;14/07/2011
13-0281;Até que a Morte Nos Separe - 2ª Temporada;SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;0,0;0,0;0,0;0,0;1209006,94;0,0;1209006,94;08/08/2013;11/09/2014
15-0081;OUTROS TEMPOS - VELHOS (Ex- Outros Tempos - Velhice (Ex: Aging - No Meu Tempo);SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;0,0;0,0;0,0;0,0;2134542,17;0,0;2134542,17;19/03/2015;20/08/2015
15-0710;Outros Tempos - Jovens (Ex- Aging - Jovens);SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;0,0;0,0;0,0;0,0;2176806,15;0,0;2176806,15;22/12/2015;26/08/2016
16-0357;ROMPENDO O SILÊNCIO (Ex- Romper o Silêncio);SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;0,0;0,0;0,0;0,0;1787549,83;0,0;1787549,83;14/07/2016;20/03/2017
17-0251;Até que a Morte nos Separe - 3a temporada;SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;0,0;0,0;0,0;0,0;1652750,15;0,0;1652750,15;30/05/2017;24/10/2017
17-0318;Falcão In Vogue;SÃO PAULO;SP;DEFERIDO;00.020.648/0001-20;PRODIGO FILMS LTDA;0,0;0,0;0,0;0,0;150000,0;0,0;0,0;150000,0;26/06/2017;01/07/2019
16-0386;Humberto Mauro;RIO DE JANEIRO;RJ;IRREGULAR;00.061.412/0001-31;DI MAURO CULTURA E ARTE PRODUCOES ARTISTICAS EIRELI;0,0;0,0;280000,0;0,0;0,0;0,0;0,0;280000,0;29/07/2016;12/05/2017
95-0571;Meninas ( As );RIO DE JANEIRO;RJ;DEFERIDO;00.101.698/0001-31;YPEARTS AUDIOVISUAL LTDA;0,0;493500,0;0,0;0,0;0,0;0,0;0,0;493500,0;05/09/1995;08/06/1995
96-0673;Condenado à Liberdade;RIO DE JANEIRO;RJ;DEFERIDO;00.101.698/0001-31;YPEARTS AUDIOVISUAL LTDA;0,0;1929507,33;0,0;0,0;0,0;0,0;0,0;1929507,33;25/02/1996;18/02/1998
07-0210;Pìxinguinha - Um Homem Carinhoso;RIO DE JANEIRO;RJ;DEFERIDO;00.101.698/0001-31;YPEARTS AUDIOVISUAL LTDA;0,0;2006615,0;471893,88;0,0;3000000,0;0,0;0,0;5478508,88;09/08/2007;03/09/2012
07-0136;Brava Gente Italiana;RIO DE JANEIRO;RJ;DEFERIDO;00.101.698/0001-31;YPEARTS AUDIOVISUAL LTDA;0,0;983065,0;154125,87;0,0;0,0;0,0;0,0;1137190,87;21/06/2007;18/12/2007
05-0245;POR TRÁS DO VÉU;RIO DE JANEIRO;RJ;DEFERIDO;00.101.698/0001-31;YPEARTS AUDIOVISUAL LTDA;230000,0;875000,0;64618,44;0,0;0,0;0,0;0,0;1169618,44;11/11/2005;15/12/2006
00-0285;Brasil ?... Só Rindo !;RIO DE JANEIRO;RJ;DEFERIDO;00.101.698/0001-31;YPEARTS AUDIOVISUAL LTDA;0,0;200000,0;0,0;0,0;0,0;0,0;0,0;200000,0;28/09/2000;09/01/2001
00-0359;Gatão de Meia Idade;RIO DE JANEIRO;RJ;DEFERIDO;00.101.698/0001-31;YPEARTS AUDIOVISUAL LTDA;201839,63;2890681,0;0,0;543750,0;0,0;0,0;0,0;3636270,63;05/12/2000;25/02/2003
08-0630;Pequeno Segredo;SÃO PAULO;SP;DEFERIDO;00.132.102/0001-60;SCHÜRMANN PRODUÇÕES CINEMATOGRÁFICAS LTDA;0,0;0,0;4000000,0;0,0;0,0;0,0;0,0;4000000,0;29/12/2008;30/07/2010
13-0406;Família Schurmann - Expedição Oriente;SÃO PAULO;SP;DEFERIDO;00.132.102/0001-60;SCHÜRMANN PRODUÇÕES CINEMATOGRÁFICAS LTDA;0,0;0,0;3752000,01;0,0;0,0;1098720,11;0,0;4850720,12;17/10/2013;05/11/2015
96-0153;História do  Rock Brasileiro;SÃO PAULO;SP;IRREGULAR;00.175.164/0001-50;KOMVIDEO COMUNICAÇÃO ARTE E CULTURA LTDA;108219,88;174259,0;0,0;0,0;0,0;0,0;0,0;282478,88;15/10/1996;04/12/1996
96-1527;Gaijin Ama-me Como Sou ( Ex.: Gaijin II ) ;RIO DE JANEIRO;RJ;IRREGULAR;00.193.157/0001-80;SCENA FILMES LTDA;5071649,2043;3000000,0;0,0;0,0;0,0;0,0;0,0;8071649,2043;01/10/1996;15/10/2001
01-4563;Gaijin Ama-me Como Sou (Gaijin II  Distribuição) ;RIO DE JANEIRO;RJ;IRREGULAR;00.193.157/0001-80;SCENA FILMES LTDA;0,0;2865800,0;0,0;709607,45;0,0;0,0;0,0;3575407,45;21/12/2001;05/04/2002
04-0361;DVD GAIJIN - CAMINHOS DA LIBERDADE;RIO DE JANEIRO;RJ;IRREGULAR;00.193.157/0001-80;SCENA FILMES LTDA;586835,22;0,0;0,0;0,0;0,0;0,0;0,0;586835,22;23/02/2005;29/09/2005
04-0294;Encantados (Ex - Ilha de Marajó: A Revolta da Ave Caruana);RIO DE JANEIRO;RJ;IRREGULAR;00.193.157/0001-80;SCENA FILMES LTDA;150000,0;3000000,0;2214000,0;0,0;0,0;0,0;0,0;5364000,0;23/12/2004;08/04/2008
05-0079;VAMOS COMER PERNAMBUCO II;RECIFE;PE;IRREGULAR;00.198.672/0001-53;OFICINA DE IMAGENS EIRELI - EPP;200000,0;0,0;0,0;0,0;0,0;0,0;0,0;200000,0;13/06/2005;01/02/2006
03-0120;Amplavisão de São Paulo;SÃO PAULO;SP;DEFERIDO;00.205.194/0001-61;HECO PRODUÇÕES LTDA;630000,0;629879,0;0,0;0,0;0,0;0,0;0,0;1259879,0;18/09/2003;31/01/2005
08-0433;Ozualdo Candeias e o Cinema (Ex - O Cinema de Ozualdo Candeias);SÃO PAULO;SP;DEFERIDO;00.205.194/0001-61;HECO PRODUÇÕES LTDA;0,0;0,0;400000,0;0,0;0,0;0,0;0,0;400000,0;05/02/2009;03/03/2010
10-0354;Sem Pena;SÃO PAULO;SP;DEFERIDO;00.205.194/0001-61;HECO PRODUÇÕES LTDA;0,0;570000,0;150000,0;0,0;0,0;0,0;0,0;720000,0;08/12/2010;17/07/2012
22-0032;VOZES DO JOELMA (DESENVOLVIMENTO);SÃO PAULO;SP;DEFERIDO;00.256.170/0001-31;EMPORTE FILMS - ASSESSORIA E PRODUTORA CINEMATOGRAFICA LTDA;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23/02/2022;24/10/2022
98-4664;Tributo à Nelson Gonçalves;RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;457564,49;0,0;0,0;0,0;0,0;0,0;0,0;457564,49;03/09/1998;23/12/1998
98-4665;Requebra (Ex: Férias Muito Loucas);RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;213529,9699;2829806,0;0,0;0,0;0,0;0,0;0,0;3043335,9699;24/02/1997;05/05/1999
08-0258;Leporella;RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;0,0;1708395,0;424968,78;0,0;0,0;0,0;0,0;2133363,78;27/08/2008;26/05/2011
09-0307;Meus Dois Amores (Ex. A Noiva e a Mula) (Ex. Espertices & Valenturas);RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;0,0;1963118,0;1650700,0;0,0;500000,0;0,0;0,0;4113818,0;09/12/2009;01/12/2011
07-0049;O Guerreiro Didi e a Ninja Lili      (Ex - A Pequena Ninja);RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;0,0;1936903,0;0,0;3000000,0;0,0;0,0;0,0;4936903,0;11/06/2007;09/10/2007
06-0329;BONITINHA, MAS ORDINÁRIA;RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;0,0;2000000,0;309650,0;1444787,85;0,0;0,0;0,0;3754437,85;13/12/2006;28/03/2007
06-0128;XUXA GÊMEAS   (EX - GÊMEAS DE CRISTAL) (EX - XUXA EM FORTUNA EM DOSE DUPLA);RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;0,0;1578900,0;224600,0;3000000,0;0,0;0,0;0,0;4803500,0;02/08/2006;26/10/2006
07-0381;Uma Professora Muito Maluquinha;RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;0,0;3000000,0;999237,33;0,0;0,0;0,0;0,0;3999237,33;06/10/2007;24/11/2008
07-0452;Guerreiros da Tempestade;RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;0,0;2850182,0;657397,21;0,0;0,0;0,0;0,0;3507579,21;14/03/2008;05/03/2009
02-3995;Abracadabra (Pé de Cabra)  ex-Duendes 3;RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;0,0;619950,0;0,0;3000000,0;0,0;0,0;0,0;3619950,0;10/10/2002;11/09/2003
02-3996;Um Show de Verão ( ex - Sonho de Verão 3);RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;150000,0;1099731,0;0,0;1800000,0;0,0;0,0;0,0;3049731,0;10/10/2002;31/10/2003
02-4111;MARIA, MÃE DO FILHO DE DEUS;RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;10500,0;1314450,0;0,0;2499997,0;0,0;0,0;0,0;3824947,0;16/12/2002;18/07/2003
02-4245;Xuxa e o tesouro da cidade perdida(Ex : Os Baixinhos);RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;0,0;360567,0;0,0;2999999,8;0,0;0,0;0,0;3360566,8;10/11/2003;20/07/2004
01-4572;Duendes 2;RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;2250,0;2522000,0;0,0;3000000,0;0,0;0,0;0,0;5524250,0;14/06/2002;01/08/2002
01-1971;Xuxa e os Duendes;RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;0,0;700000,0;0,0;2999999,98;0,0;0,0;0,0;3699999,98;16/07/2001;12/12/2001
01-2080;Fica Comigo Esta Noite;RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;0,0;1009050,0;0,0;3000000,0;0,0;0,0;0,0;4009050,0;08/10/2001;31/03/2004
00-0250;Zico o filme;RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;961750,0;334750,0;0,0;0,0;0,0;0,0;0,0;1296500,0;13/10/2000;26/12/2003
00-0075;O Cupido Trapalhão;RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;0,0;1475535,0;0,0;1800000,0;0,0;0,0;0,0;3275535,0;21/08/2000;10/06/2003
00-0193;Xuxa Pop Star (Ex Xuxa Kid);RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;90000,0;212354,0;0,0;1600000,0;0,0;0,0;0,0;1902354,0;22/09/2000;04/10/2000
01-1870;Dom;RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;200000,0;1730523,0;0,0;1000000,0;0,0;0,0;0,0;2930523,0;12/04/2001;19/03/2002
05-0064;JUÍZO;RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;1000000,0;0,0;509217,0;0,0;0,0;0,0;0,0;1509217,0;01/07/2005;08/02/2006
05-0239;TRAIR E COÇAR É SÓ COMEÇAR;RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;0,0;430000,0;0,0;2850000,0;0,0;0,0;0,0;3280000,0;05/10/2005;08/03/2006
05-0248;A TURMA DA MÔNICA EM UMA AVENTURA NO TEMPO;RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;75000,0;2199400,0;160750,0;2853924,56;0,0;146075,44;0,0;5435150,0;03/10/2005;23/10/2006
06-0063;O CAVALEIRO DIDI E A PRINCESA LILI   (EX - DIDI E A PRINCESA LILI);RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;0,0;839500,0;0,0;3088112,63;0,0;70482,14;0,0;3998094,77;09/06/2006;04/08/2006
04-0150;Xuxinha e Guto Contra os Monstros do Espaço (ex-Aventuras da Xuxinha);RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;31250,0;2108544,0;391219,5;3000000,0;0,0;0,0;0,0;5531013,5;06/07/2004;02/08/2005
04-0232;COISA DE MULHER ;RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;110000,0;721000,0;0,0;2000000,0;0,0;0,0;0,0;2831000,0;25/11/2004;21/12/2004
04-0236;DIDI O CAÇADOR DE TESOUROS (ex-Didizinho, 6 crianças e 1 bebê);RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;55000,0;46106,0;0,0;2914458,62;0,0;85541,28;0,0;3101105,9;25/11/2004;11/10/2005
04-0047;IRMÃOS DE FÉ (Ex: OS APÓSTOLOS);RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;100000,0;1258962,0;0,0;2804247,4;0,0;195752,6;0,0;4358962,0;15/03/2004;17/12/2004
04-0065;DIDI QUER SER CRIANÇA (EX - DIDI EM QUERO SER CRIANÇA);RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;0,0;1003750,0;0,0;2380000,0;0,0;120000,0;0,0;3503750,0;15/03/2004;28/07/2004
04-0075;A MÁQUINA;RIO DE JANEIRO;RJ;IRREGULAR;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;250000,0;1744449,0;0,0;3000000,0;0,0;0,0;0,0;4994449,0;11/05/2004;16/09/2004
09-0063;O Carteiro (Ou Para que me escutes);PORTO ALEGRE;RS;DEFERIDO;00.325.903/0001-42;TURNING POINT PRODUCOES EIRELI;0,0;428700,0;50000,0;0,0;0,0;0,0;0,0;478700,0;22/05/2009;03/02/2011
10-0217;"A floresta que se move (Ex - Faces da Alma) (Ex-""As Feições da Alma"")";RIO DE JANEIRO;RJ;DEFERIDO;00.338.948/0001-51;E.H. FILMES LTDA;0,0;0,0;0,0;0,0;2300000,0;0,0;0,0;2300000,0;12/08/2010;06/08/2014
10-0096;Margaret Mee e a Flor da Lua;RIO DE JANEIRO;RJ;DEFERIDO;00.338.948/0001-51;E.H. FILMES LTDA;0,0;864800,0;0,0;0,0;0,0;0,0;0,0;864800,0;24/06/2010;17/02/2012
05-0168;COMO ESQUECER;RIO DE JANEIRO;RJ;DEFERIDO;00.338.948/0001-51;E.H. FILMES LTDA;0,0;720000,0;250000,0;527480,6;0,0;0,0;0,0;1497480,6;09/11/2005;22/04/2009
00-0274;Mortos na Água;RIO DE JANEIRO;RJ;DEFERIDO;00.338.948/0001-51;E.H. FILMES LTDA;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10/10/2000;28/06/2000
02-4286;Mulheres do Brasil;RIO DE JANEIRO;RJ;DEFERIDO;00.338.948/0001-51;E.H. FILMES LTDA;0,0;1012304,0;0,0;700000,0;0,0;0,0;0,0;1712304,0;12/12/2002;23/03/2004
16-0200;Maria do Caritó - Desenvolvimento;RIO DE JANEIRO;RJ;DEFERIDO;00.338.948/0001-51;E.H. FILMES LTDA;0,0;0,0;0,0;0,0;26000,0;0,0;0,0;26000,0;18/05/2016;11/08/2016
16-0077;Maria do Caritó;RIO DE JANEIRO;RJ;DEFERIDO;00.338.948/0001-51;E.H. FILMES LTDA;0,0;0,0;0,0;0,0;3000000,0;0,0;0,0;3000000,0;29/02/2016;22/06/2017
16-0672;Luna Clara - Desenvolvimento;RIO DE JANEIRO;RJ;DEFERIDO;00.338.948/0001-51;E.H. FILMES LTDA;0,0;0,0;0,0;0,0;150000,0;0,0;0,0;150000,0;24/10/2016;15/12/2016
16-0103;SANTO AMARO ERA SKATISTA;RIO DE JANEIRO;RJ;DEFERIDO;00.360.459/0001-04;DOCUMENTA PRODUCOES LTDA;0,0;0,0;0,0;0,0;200000,0;0,0;0,0;200000,0;18/03/2016;09/09/2016
16-0031;HENFIL DO BRASIL;RIO DE JANEIRO;RJ;DEFERIDO;00.360.459/0001-04;DOCUMENTA PRODUCOES LTDA;0,0;0,0;0,0;0,0;300000,0;0,0;0,0;300000,0;20/01/2016;14/08/2017
15-0096;Meu Nome é Jacque - A História de Jacqueline Rocha Côrtes;RIO DE JANEIRO;RJ;DEFERIDO;00.360.459/0001-04;DOCUMENTA PRODUCOES LTDA;0,0;0,0;0,0;0,0;300000,0;0,0;0,0;300000,0;02/04/2015;11/09/2015
14-0242;Betinho - A Esperança Equilibrista (Ex- Betinho - Uma Vida de História);RIO DE JANEIRO;RJ;DEFERIDO;00.360.459/0001-04;DOCUMENTA PRODUCOES LTDA;0,0;100000,0;0,0;0,0;350000,0;0,0;0,0;450000,0;03/07/2014;10/12/2014
00-0370;Aventuras de Pedro Rita e Bentinho (As);RIO DE JANEIRO;RJ;DEFERIDO;00.360.459/0001-04;DOCUMENTA PRODUCOES LTDA;0,0;56715,0;0,0;0,0;0,0;0,0;0,0;56715,0;25/01/2001;10/05/2001
17-0422;O SAMBA É PRIMO DE JAZZ (EX EU SOU A MARROM);RIO DE JANEIRO;RJ;DEFERIDO;00.360.459/0001-04;DOCUMENTA PRODUCOES LTDA;0,0;100000,0;0,0;0,0;200000,0;0,0;0,0;300000,0;10/08/2017;01/07/2019
12-0393;Ninguém Ama Ninguém...Por Mais de Dois Anos.;SÃO PAULO;SP;DEFERIDO;00.445.787/0001-03;CINE CINEMATOGRÁFICA LTDA;0,0;0,0;388000,0;0,0;0,0;0,0;0,0;388000,0;09/10/2012;27/07/2015
99-3770;Conexão Brasil;CASCAVEL;PR;DEFERIDO;00.487.854/0001-44;SIRINO E SILVESTRE LTDA-ME;184730,5;169000,0;0,0;0,0;0,0;0,0;0,0;353730,5;12/02/1998;02/02/2000
13-0078;TRAVESSIAS;CASCAVEL;PR;DEFERIDO;00.487.854/0001-44;SIRINO E SILVESTRE LTDA-ME;0,0;0,0;525191,56;0,0;0,0;0,0;0,0;525191,56;25/03/2013;07/10/2014
09-0242;Curitiba Zero Grau;CASCAVEL;PR;DEFERIDO;00.487.854/0001-44;SIRINO E SILVESTRE LTDA-ME;0,0;0,0;445000,0;0,0;0,0;0,0;0,0;445000,0;10/09/2009;15/08/2011
11-0166;Cativas - Presas Pelo Coração (Ex - Cativas);CURITIBA;PR;DEFERIDO;00.508.766/0001-81;SAMBAQUI CULTURAL CINE VÍDEO LTDA;0,0;0,0;301302,45;0,0;80000,0;0,0;0,0;381302,45;14/07/2011;26/09/2012
12-0173;UMA GÔNDOLA PARA NOVA VENEZA;CURITIBA;PR;DEFERIDO;00.508.766/0001-81;SAMBAQUI CULTURAL CINE VÍDEO LTDA;0,0;0,0;86480,2;0,0;0,0;0,0;0,0;86480,2;10/07/2012;11/04/2014
13-0275;Os Espetaculares (ex-Caiu na Rede é Peixe);RIO DE JANEIRO;RJ;DEFERIDO;00.538.914/0001-00;FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI;0,0;400000,0;0,0;0,0;0,0;0,0;0,0;400000,0;01/08/2013;04/02/2019
13-0300;Vai Que Dá Certo 2 ;RIO DE JANEIRO;RJ;DEFERIDO;00.538.914/0001-00;FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI;0,0;600000,0;1000000,0;1060000,0;1840000,0;0,0;0,0;4500000,0;19/08/2013;11/12/2014
16-0739;Rei Abá e sua Banda;RIO DE JANEIRO;RJ;DEFERIDO;00.538.914/0001-00;FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI;0,0;600000,0;0,0;0,0;0,0;0,0;0,0;600000,0;25/11/2016;03/12/2020
09-0354;Virando Bicho;RIO DE JANEIRO;RJ;DEFERIDO;00.538.914/0001-00;FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI;0,0;548000,0;47000,0;0,0;0,0;0,0;0,0;595000,0;15/12/2009;01/04/2010
09-0045;Vai que dá Certo (Ex - Apolo - Reis da Malandragem);RIO DE JANEIRO;RJ;DEFERIDO;00.538.914/0001-00;FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI;0,0;380000,0;0,0;0,0;150000,0;0,0;0,0;530000,0;29/04/2009;17/02/2012
06-0315;VERÔNICA      (EX - INFERNO COLORIDO);RIO DE JANEIRO;RJ;DEFERIDO;00.538.914/0001-00;FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI;0,0;572307,0;0,0;0,0;0,0;0,0;0,0;572307,0;08/12/2006;11/07/2008
98-4187;Contos no Cinema  Duas Vezes Com Helena;RIO DE JANEIRO;RJ;DEFERIDO;00.538.914/0001-00;FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI;432000,0;331475,0;0,0;0,0;0,0;0,0;0,0;763475,0;06/11/1997;26/01/2000
97-3890;CONTOS NO CINEMA - O ENFERMEIRO;RIO DE JANEIRO;RJ;DEFERIDO;00.538.914/0001-00;FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI;0,0;550018,0;0,0;0,0;0,0;0,0;0,0;550018,0;01/10/1997;06/01/1998
18-0253;Gerações da Vela;RIO DE JANEIRO;RJ;DEFERIDO;00.538.914/0001-00;FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI;0,0;0,0;0,0;0,0;1792340,0;0,0;0,0;1792340,0;27/04/2018;06/06/2018
02-3823;Um Craque Chamado Divino ;FLORIANÓPOLIS;SC;DEFERIDO;00.563.081/0001-38;ADALBERTO PENNA PRODUCOES CINEMATOGRAFICAS LTDA;760000,0;0,0;0,0;0,0;0,0;0,0;0,0;760000,0;12/07/2002;17/01/2005
06-0025;DOCE DE COCO;FLORIANÓPOLIS;SC;DEFERIDO;00.563.081/0001-38;ADALBERTO PENNA PRODUCOES CINEMATOGRAFICAS LTDA;0,0;0,0;100000,0;0,0;0,0;0,0;0,0;100000,0;24/04/2006;05/02/2009
11-0119;Das Profundezas;FLORIANÓPOLIS;SC;DEFERIDO;00.563.081/0001-38;ADALBERTO PENNA PRODUCOES CINEMATOGRAFICAS LTDA;0,0;0,0;67424,31;0,0;0,0;0,0;0,0;67424,31;21/06/2011;02/07/2014
11-0184;Filha Mãe Avó e Puta (Desenvolvimento);SÃO PAULO;SP;IRREGULAR;00.567.440/0001-25;VIRA LATA FILMES LTDA;0,0;0,0;0,0;167854,01;0,0;0,0;0,0;167854,01;26/10/2011;19/09/2012
95-1248;BARÃO DO SERRO AZUL;CURITIBA;PR;IRREGULAR;00.568.159/0001-07;M A PRODUÇÕES ARTISTICAS E CULTURAIS LTDA ME;120000,0;1407600,0;0,0;0,0;0,0;0,0;0,0;1527600,0;24/05/1996;19/04/1999
97-2593;Querido Estranho (Ex- Intensa Magia);SÃO PAULO;SP;DEFERIDO;00.605.488/0001-80;VEREDAS COMUNICAÇÃO E ARTE LTDA.;0,0;1091489,0;0,0;453152,85;0,0;0,0;0,0;1544641,85;31/10/1997;03/12/2001
04-0340;DORES & AMORES (EX - DORES, AMORES & ASSEMELHADOS);SÃO PAULO;SP;DEFERIDO;00.605.488/0001-80;VEREDAS COMUNICAÇÃO E ARTE LTDA.;0,0;300000,0;1040000,0;0,0;0,0;0,0;0,0;1340000,0;22/03/2005;11/03/2008
96-0278;Lua de Outubro;PORTO ALEGRE;RS;DEFERIDO;00.613.962/0001-16;EMPRESA CINEMATOGRAFICA PAMPEANA EIRELI;341927,3007;1513598,26;0,0;0,0;0,0;0,0;0,0;1855525,5607;17/05/1995;05/07/1996
99-3998;Concerto Campestre;PORTO ALEGRE;RS;DEFERIDO;00.613.962/0001-16;EMPRESA CINEMATOGRAFICA PAMPEANA EIRELI;0,0;2364000,0;0,0;400000,0;0,0;0,0;0,0;2764000,0;22/12/1998;13/06/2000
03-0365;AO SUL DE SETEMBRO;CHAPADA DOS GUIMARÃES;MT;DEFERIDO;00.614.991/0001-00;ARTES BRASIL PRODUÇÕES ARTÍSTICAS LTDA;599564,75;0,0;0,0;0,0;0,0;0,0;0,0;599564,75;22/12/2003;28/04/2004
11-0144;Coração do Brasil;SÃO PAULO;SP;DEFERIDO;00.623.018/0001-40;DANIEL SOLÁ SANTIAGO PRODUÇÕES LTDA. ME;0,0;0,0;150000,0;0,0;0,0;0,0;0,0;150000,0;08/09/2011;23/01/2012
